venue,year,identifier,heading,paper_id,title,authors,electronic_edition,comment
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Calingaert60,Switching function canonical forms based on commutative and associative binary operations.,c/PCalingaert: Peter Calingaert,https://doi.org/10.1109/FOCS.1961.31,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Elgot60,Truth functions realizable by single threshold organs.,68/1959: Calvin C. Elgot,https://doi.org/10.1109/FOCS.1961.39,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/FrazerM60,A Method for Factoring the Action of Asynchronous Circuits.,34/6764: W. D. Frazer; 99/4089: David E. Muller,https://doi.org/10.1109/FOCS.1961.4,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Homan60,"A four-megacycle, 24-bit checked binary adder.",51/4217: M. E. Homan,https://doi.org/10.1109/FOCS.1961.3,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Ledley60,Boolean matrices applied to sequential circuit theory and threshold logics.,31/4634: Robert S. Ledley,https://doi.org/10.1109/FOCS.1961.9,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Meade60,Forcing circuitry-Sequential building blocks for logical design.,51/700: R. M. Meade,https://doi.org/10.1109/FOCS.1961.14,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Reinecke60,Current-operated diode logic gates.,32/2327: Henry Reinecke Jr.,https://doi.org/10.1109/FOCS.1961.12,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Shelly60,The decision and synthesis problems in semimodular switching theory.,178/6118: James Harold Shelly,https://doi.org/10.1109/FOCS.1961.34,
FOCS,1960,conf/focs/focs60,,https://dblp.org/db/conf/focs/focs60.html#conf/focs/Winder60,Single stage threshold logic.,22/5500: Robert O. Winder,https://doi.org/10.1109/FOCS.1961.29,
FOCS,1961,conf/focs/focs61,I. Minimization of Boolean Functions,https://dblp.org/db/conf/focs/focs61.html#conf/focs/CobhamFN61,An application of linear programming to the minimization of Boolean functions.,44/5388: Alan Cobham; 02/3231: R. Fridshal; 00/5980: J. H. North,https://doi.org/10.1109/FOCS.1961.5,
FOCS,1961,conf/focs/focs61,I. Minimization of Boolean Functions,https://dblp.org/db/conf/focs/focs61.html#conf/focs/McCluskey61,Minimal sums for Boolean functions having many unspecified fundamental products.,m/EdwardJMcCluskey: Edward J. McCluskey,https://doi.org/10.1109/FOCS.1961.21,
FOCS,1961,conf/focs/focs61,I. Minimization of Boolean Functions,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Petrick61,Use of a list processing language in programming simplification procedures.,94/6265: Stanley R. Petrick,https://doi.org/10.1109/FOCS.1961.41,
FOCS,1961,conf/focs/focs61,II. Threshold Logic Design,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Akers61,"Threshold logic and two-person, zero-sum games.",89/430: Sheldon B. Akers Jr.,https://doi.org/10.1109/FOCS.1961.37,
FOCS,1961,conf/focs/focs61,II. Threshold Logic Design,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Chow61,On the characterization of threshold functions.,85/786: C. K. Chow,https://doi.org/10.1109/FOCS.1961.24,
FOCS,1961,conf/focs/focs61,II. Threshold Logic Design,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Muroga61,Functional forms of majority functions and a necessary and sufficient condition for their realizability.,82/4473: Saburo Muroga,https://doi.org/10.1109/FOCS.1961.17,
FOCS,1961,conf/focs/focs61,II. Threshold Logic Design,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Stram61,The profile technique for the design of threshold device logic.,21/3765: O. B. Stram,https://doi.org/10.1109/FOCS.1961.36,
FOCS,1961,conf/focs/focs61,II. Threshold Logic Design,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Winder61,More about threshold logic.,22/5500: Robert O. Winder,https://doi.org/10.1109/FOCS.1961.22,
FOCS,1961,conf/focs/focs61,III. Neuron Physiology and Threshold Logics,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Kennedy61,The integrative properties of neurons.,63/428: Donald Kennedy,https://doi.org/10.1109/FOCS.1961.35,
FOCS,1961,conf/focs/focs61,III. Neuron Physiology and Threshold Logics,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Landahl61,Mathematical models of neurone interaction.,43/1213: H. D. Landahl,https://doi.org/10.1109/FOCS.1961.19,
FOCS,1961,conf/focs/focs61,III. Neuron Physiology and Threshold Logics,https://dblp.org/db/conf/focs/focs61.html#conf/focs/BoyleL61,Multivalued logic devices for simulating threshold neurons.,09/6873: D. R. Boyle; 31/4634: Robert S. Ledley,https://doi.org/10.1109/FOCS.1961.23,
FOCS,1961,conf/focs/focs61,III. Neuron Physiology and Threshold Logics,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Cowan61,Many-valued logics and reliable homeostatic mechanisms.,26/4829: Jack D. Cowan,https://doi.org/10.1109/FOCS.1961.18,
FOCS,1961,conf/focs/focs61,IV. Introduction to Speed-independent Circuits,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Miller61,An introduction to speed independent circuit theory.,m/RaymondEMiller: Raymond E. Miller,https://doi.org/10.1109/FOCS.1961.6,
FOCS,1961,conf/focs/focs61,IV. Introduction to Speed-independent Circuits,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Swartwout61,One method for designing speed independent logic for a control.,11/3177: Robert E. Swartwout,https://doi.org/10.1109/FOCS.1961.25,
FOCS,1961,conf/focs/focs61,IV. Introduction to Speed-independent Circuits,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Robertson61,Problems in the physical realization of speed independent circuits.,62/5304: James E. Robertson,https://doi.org/10.1109/FOCS.1961.28,
FOCS,1961,conf/focs/focs61,IV. Introduction to Speed-independent Circuits,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Gillies61,A flow chart notation for the description of a speed-independent control.,25/5584: D. B. Gillies,https://doi.org/10.1109/FOCS.1961.2,
FOCS,1961,conf/focs/focs61,V. Samuel H. Caldwell Memorial Session,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Kilmer61,Transient behavior in iterative combinatorial switching networks.,28/2506: William L. Kilmer,https://doi.org/10.1109/FOCS.1961.38,
FOCS,1961,conf/focs/focs61,V. Samuel H. Caldwell Memorial Session,https://dblp.org/db/conf/focs/focs61.html#conf/focs/ElgotR61,Operations of finite automata.,68/1959: Calvin C. Elgot; 20/3692: Joseph D. Rutledge,https://doi.org/10.1109/FOCS.1961.26,
FOCS,1961,conf/focs/focs61,V. Samuel H. Caldwell Memorial Session,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Arden61,Delayed-logic and finite-state machines.,70/2828: Dean N. Arden,https://doi.org/10.1109/FOCS.1961.13,
FOCS,1961,conf/focs/focs61,V. Samuel H. Caldwell Memorial Session,https://dblp.org/db/conf/focs/focs61.html#conf/focs/GaleyNR61,Techniques for the diagnosis of switching circuit failures.,81/5141: J. M. Galey; 28/2997: R. E. Norby; 92/1113: J. Paul Roth,https://doi.org/10.1109/FOCS.1961.33,
FOCS,1961,conf/focs/focs61,VI. Open Problems in Switching Theory,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Kautz61a,Some unsolved problems in switching theory.,29/3092: William H. Kautz,https://doi.org/10.1109/FOCS.1961.30,
FOCS,1961,conf/focs/focs61,VI. Open Problems in Switching Theory,https://dblp.org/db/conf/focs/focs61.html#conf/focs/ElgotM61,Two problems on threshold functions.,68/1959: Calvin C. Elgot; 82/4473: Saburo Muroga,https://doi.org/10.1109/FOCS.1961.40,
FOCS,1961,conf/focs/focs61,VII. Logic Network Synthesis,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Cohn61,Canonical forms of functions in P-valued logics.,182/0073: Marius Cohn,https://doi.org/10.1109/FOCS.1961.11,
FOCS,1961,conf/focs/focs61,VII. Logic Network Synthesis,https://dblp.org/db/conf/focs/focs61.html#conf/focs/OkadaRY61,Boolean two-terminal analysis and synthesis.,86/5322: S. Okada; 29/6825: K. P. Rajappan; 31/958: K. P. Young,https://doi.org/10.1109/FOCS.1961.10,
FOCS,1961,conf/focs/focs61,VII. Logic Network Synthesis,https://dblp.org/db/conf/focs/focs61.html#conf/focs/KarpMRW61,A computer program for the synthesis of combinational switching circuits.,k/RichardMKarp: Richard M. Karp; 84/2190: F. E. McFarlin; 92/1113: J. Paul Roth; 10/4857: J. R. Wilts,https://doi.org/10.1109/FOCS.1961.1,
FOCS,1961,conf/focs/focs61,VII. Logic Network Synthesis,https://dblp.org/db/conf/focs/focs61.html#conf/focs/Kautz61b,Automatic fault detection in combinational switching networks.,29/3092: William H. Kautz,https://doi.org/10.1109/FOCS.1961.8,
FOCS,1962,conf/focs/focs62,I. Minimization Techniques,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Meo62,On the minimal third order expression of a Boolean function.,61/6128: Angelo Raffaele Meo,https://doi.org/10.1109/FOCS.1962.11,
FOCS,1962,conf/focs/focs62,I. Minimization Techniques,https://dblp.org/db/conf/focs/focs62.html#conf/focs/SamsonC62,Research and algorithms in the theory of Boolean formulas.,24/1917: E. W. Samson; 39/6310: Lorenzo Calabi,https://doi.org/10.1109/FOCS.1962.13,
FOCS,1962,conf/focs/focs62,I. Minimization Techniques,https://dblp.org/db/conf/focs/focs62.html#conf/focs/CalabiR62,The algebra of Boolean formulas: Some criteria for minimality.,39/6310: Lorenzo Calabi; 36/6594: J. A. Riley,https://doi.org/10.1109/FOCS.1962.18,
FOCS,1962,conf/focs/focs62,I. Minimization Techniques,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Lawler62,Minimal Boolean expressions with more than two levels of sums and products.,59/4835: Eugene L. Lawler,https://doi.org/10.1109/FOCS.1962.9,
FOCS,1962,conf/focs/focs62,II. Sequential Circuits I,https://dblp.org/db/conf/focs/focs62.html#conf/focs/ElgotR62,Machine properties preserved under state minimization.,68/1959: Calvin C. Elgot; 20/3692: Joseph D. Rutledge,https://doi.org/10.1109/FOCS.1962.8,
FOCS,1962,conf/focs/focs62,II. Sequential Circuits I,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Hazeltine62,A procedure for obtaining an economical asynchronous sequential circuit directly from a set of regular expressions.,91/6334: Barrett Hazeltine,https://doi.org/10.1109/FOCS.1962.1,
FOCS,1962,conf/focs/focs62,II. Sequential Circuits I,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Hohn62,States of sequential machines whose logical elements involve delay.,52/1060: Franz E. Hohn,https://doi.org/10.1109/FOCS.1962.15,
FOCS,1962,conf/focs/focs62,II. Sequential Circuits I,https://dblp.org/db/conf/focs/focs62.html#conf/focs/McCluskey62,Reduction of feedback loops in sequential circuits and carry leads in iterative networks.,m/EdwardJMcCluskey: Edward J. McCluskey,https://doi.org/10.1109/FOCS.1962.12,
FOCS,1962,conf/focs/focs62,III. Sequential Circuits II,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Levien62,The synthesis of cascade switching circuits.,42/984: Roger E. Levien,https://doi.org/10.1109/FOCS.1962.19,
FOCS,1962,conf/focs/focs62,III. Sequential Circuits II,https://dblp.org/db/conf/focs/focs62.html#conf/focs/BeattyM62,Some theorems for incompletely specified sequential machines with applications to state minimization.,62/6959: J. C. Beatty; m/RaymondEMiller: Raymond E. Miller,https://doi.org/10.1109/FOCS.1962.14,
FOCS,1962,conf/focs/focs62,III. Sequential Circuits II,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Winograd62,Bounded-transient automata.,w/ShmuelWinograd: Shmuel Winograd,https://doi.org/10.1109/FOCS.1962.3,
FOCS,1962,conf/focs/focs62,III. Sequential Circuits II,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Even62,Generalized automata and their information losslessness.,e/ShimonEven: Shimon Even,https://doi.org/10.1109/FOCS.1962.6,
FOCS,1962,conf/focs/focs62,IV. Combinational Problems,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Akers62,Synthesis of combinational logic using three-input majority gates.,89/430: Sheldon B. Akers Jr.,https://doi.org/10.1109/FOCS.1962.16,
FOCS,1962,conf/focs/focs62,IV. Combinational Problems,https://dblp.org/db/conf/focs/focs62.html#conf/focs/LewisC62,A realization procedure for threshold gate networks.,l/PhilipMLewis: Philip M. Lewis II; 89/1268: C. L. Coates,https://doi.org/10.1109/FOCS.1962.2,
FOCS,1962,conf/focs/focs62,IV. Combinational Problems,https://dblp.org/db/conf/focs/focs62.html#conf/focs/Muroga62,Generation of self-dual threshold functions and lower bounds of the number of threshold functions and a maximum weight.,82/4473: Saburo Muroga,https://doi.org/10.1109/FOCS.1962.7,
